1,2Hr-tcServer-Hyp-Gemfire.pdf,,Desktop,PDF document,10 MB
2,2Hr-tcServer-Hyp-Gemfire.ppt,,Desktop,Presentation (PowerPoint),13 MB
3,DepartmentofTourismFinal_RFP_After_Prebid.pdf,,Desktop,PDF document,1.5 MB
4,Updated Partnership Deed.doc,,Desktop,Word (doc),55 KB
5,vFabric-NSDL.pptx,,Desktop,Presentation (pptx),8596 MB
6,#NAME?,,Documents « Printopia,PDF document,72 KB
7,ActiveMQ - User - 100% CPU spike with ActiveMQ 5.3.pdf,,Documents « Printopia,PDF document,91 KB
8,Apache ActiveMQ È -- How should I implement request response with JMS.pdf,,Documents « Printopia,PDF document,112 KB
9,Best Practices and Capacity Planning guide - GemFire Enterprise 6.pdf,,Documents « Printopia,PDF document,602 KB
10,Chatting in the Cloud- Part 1 | SpringSource Team Blog.pdf,,Documents « Printopia,PDF document,410 KB
11,Clean Code in Android Applications | SpringSource Team Blog.pdf,,Documents « Printopia,PDF document,301 KB
12,Configuring Spring and JTA without full Java EE | SpringSource Team Blog.pdf,,Documents « Printopia,PDF document,418 KB
13,Countdown to Grails 2.pdf,,Documents « Printopia,PDF document,321 KB
14,Developing applications for GlassFish Server in IntelliJ IDEA 10 - IntelliJ-Wiki.pdf,,Documents « Printopia,PDF document,1.4 MB
15,"Distributed transactions in Spring, with and without XA - JavaWorld.pdf",,Documents « Printopia,PDF document,271 KB
16,Ehcache | Documentation | FAQ.pdf,,Documents « Printopia,PDF document,217 KB
17,GC Tuning - GemFire Enterprise 6.pdf,,Documents « Printopia,PDF document,177 KB
18,"Getting Started with Redis, Spring Data & Cloud Foundry | SpringSource Team Blog.pdf",,Documents « Printopia,PDF document,308 KB
19,"InfoQ- Nokia- Lessons Learnt Migrating a Very Large and Highly Relational Database into a ""Classic"" NoSQL.pdf",,Documents « Printopia,PDF document,224 KB
20,Java Collection Performance | Javalobby.pdf,,Documents « Printopia,PDF document,1.2 MB
21,"Java Persistence Performance- How to improve JPA performance by 1,825%.pdf",,Documents « Printopia,PDF document,360 KB
22,"Just a little Python- Gevent, ZeroMQ, WebSockets, and Flot FTW!.pdf",,Documents « Printopia,PDF document,258 KB
23,K-Means Clustering Algorithms in Mahout-1.pdf,,Documents « Printopia,PDF document,531 KB
24,K-Means Clustering Algorithms in Mahout-2.pdf,,Documents « Printopia,PDF document,531 KB
25,K-Means Clustering Algorithms in Mahout-3.pdf,,Documents « Printopia,PDF document,531 KB
26,K-Means Clustering Algorithms in Mahout.pdf,,Documents « Printopia,PDF document,531 KB
27,Learn Vim Progressively.pdf,,Documents « Printopia,PDF document,417 KB
28,Mostly useless _ Blog Archive _ Playing with ActiveMQ.pdf,,Documents « Printopia,PDF document,313 KB
29,Nick Farina - Git Is Simpler Than You Think.pdf,,Documents « Printopia,PDF document,681 KB
30,Patterns For Large-Scale JavaScript Application Architecture.pdf,,Documents « Printopia,PDF document,347 KB
31,Planning for Resiliency-1.pdf,,Documents « Printopia,PDF document,128 KB
32,Planning for Resiliency-2.pdf,,Documents « Printopia,PDF document,128 KB
33,Planning for Resiliency.pdf,,Documents « Printopia,PDF document,128 KB
34,RESTful MVC Features in Spring 3.0 and 3.pdf,,Documents « Printopia,PDF document,364 KB
35,"Scala Tools, Libraries and IDE Support - Programming Scala - OFPS - O'Reilly Media.pdf",,Documents « Printopia,PDF document,1.1 MB
36,"Scala Tutorial - Maps, Sets, groupBy, Options, flatten, flatMap - Java Code Geeks.pdf",,Documents « Printopia,PDF document,1.2 MB
37,Spring Ehcache integration (Second-level caching in Hibernate).pdf,,Documents « Printopia,PDF document,621 KB
38,The evolution of Spring dependency injection techniques - Java Code Geeks.pdf,,Documents « Printopia,PDF document,1.1 MB
39,Tutorial- OS X automation with MacRuby and the Scripting Bridge.pdf,,Documents « Printopia,PDF document,182 KB
40,We open-sourced 90 node.pdf,,Documents « Printopia,PDF document,1.4 MB
41,ComprehensivePortfolioChart.pdf,,Downloads,PDF document,74 KB
42,invite.doc,,Downloads,Word (doc),195 KB
43,LiftinAction.pdf,,Downloads,PDF document,12 MB
44,Programmehandbook.pdf,,Downloads,PDF document,2.0 MB
48,Manual-icalBuddy.pdf,,Downloads « icalBuddy-v1,PDF document,307 KB
49,Manual-icalBuddyConfig.pdf,,Downloads « icalBuddy-v1,PDF document,243 KB
50,Manual-icalBuddyLocalization.pdf,,Downloads « icalBuddy-v1,PDF document,178 KB
51,Modern Languages Wrox Php And MySQL.pdf,,Dropbox « Documents,PDF document,6.0 MB
52,0e5edc80662847b1fa8f683df9ebbb5f.pdf,,Dropbox « Documents,PDF document,2.2 MB
53,01 - WhySpringSource-Overview.pptx,vfabric SpringSource,Dropbox « Documents,Presentation (pptx),4.0 MB
54,1.10377227-20110624.pdf,,Dropbox « Documents,PDF document,92 KB
55,1.10377227-20110724.pdf,,Dropbox « Documents,PDF document,217 KB
56,1.10377227-20110824.pdf,,Dropbox « Documents,PDF document,219 KB
57,1.18728098-20110628.pdf,,Dropbox « Documents,PDF document,72 KB
58,1.18728098-20110728.pdf,,Dropbox « Documents,PDF document,203 KB
59,1.18728098-20110828.pdf,,Dropbox « Documents,PDF document,203 KB
60,1B.docx,,Dropbox « Documents,Word (docx),13 KB
61,2DPannerBackground.pdf,,Dropbox « Documents,PDF document,452 KB
62,2DPannerKnob.pdf,,Dropbox « Documents,PDF document,183 KB
63,2Hr-Gemfire-caching.key,,Dropbox « Documents,Presentation (Keynote newer),18 MB
64,2Hr-tcServer-hyp-gemfire-sanitized.pptx,,Dropbox « Documents,Presentation (pptx),6.5 MB
65,2Hr-tcServer-Hyp-Gemfire.key,,Dropbox « Documents,Presentation (Keynote newer),23 MB
66,5_O_$_C12ODY=OY=(c)Y=eY=A_$_IY= Y=Y=1Y=N(c)`Y=E_$_E - PS_PSo.pdf,,Dropbox « Documents,PDF document,356 KB
67,5TH.docx,,Dropbox « Documents,Word (docx),18 KB
68,6Connex_Case_Study_Fisher_Unitech 1.pdf,,Dropbox « Documents,PDF document,225 KB
69,6Connex_Case_Study_Fisher_Unitech.pdf,,Dropbox « Documents,PDF document,225 KB
70,7TH ENGLISHS.docx,,Dropbox « Documents,Word (docx),18 KB
71,014-Field 1.doc,,Dropbox « Documents,Word (doc),121 KB
72,014-Field.doc,,Dropbox « Documents,Word (doc),121 KB
73,016-sports uniform.doc,,Dropbox « Documents,Word (doc),121 KB
74,18th May 2011_Q2 Mktg Calendar_1.xlsx,,Dropbox « Documents,Spreadsheet (xlsx),26 KB
75,27f3cfe1cc3ab4d32e93f01320850e3c.pdf,,Dropbox « Documents,PDF document,131 KB
76,50 Fast Dreamweaver MX Techniques - Unknown.pdf,,Dropbox « Documents,PDF document,35 MB
77,51 Dev74 - Intent Media.pdf,,Dropbox « Documents,PDF document,6.7 MB
78,101 Ways to Promote Your Site.pdf,WebSite,Dropbox « Documents,PDF document,4.9 MB
79,101_Ways_of_fooling.doc,,Dropbox « Documents,Word (doc),24 KB
80,271ef5b08ee9b72e89bd0ad1acea361c.pdf,,Dropbox « Documents,PDF document,161 KB
81,275d95efced6f121f3deb46e1a4b2cbf.pdf,,Dropbox « Documents,PDF document,296 KB
82,369aa3fb1dd5ae2c6fd71ce4ab3512ec.pdf,,Dropbox « Documents,PDF document,104 KB
83,700 Chess Problems - Mrs. W. J. Baird.pdf,,Dropbox « Documents,PDF document,722 KB
84,1000 Seafood Recipes - Unknown.pdf,,Dropbox « Documents,PDF document,3.9 MB
85,2598ea731c9c481a8340e6d178dd141d.pdf,,Dropbox « Documents,PDF document,198 KB
86,4050NNNN0137NNNN 1.pdf,,Dropbox « Documents,PDF document,26 KB
87,4050NNNN0137NNNN 2.pdf,,Dropbox « Documents,PDF document,26 KB
88,4050NNNN0137NNNN.pdf,,Dropbox « Documents,PDF document,26 KB
89,20110331 Makkah Province Rollout Proposal v7.ppt,,Dropbox « Documents,Presentation (PowerPoint),1.6 MB
90,20110712_Tech Overview_b (PronamChatterjee-Desktop's conflicted copy 2011-11-20).pptx,,Dropbox « Documents,Presentation (pptx),292 KB
91,20110712_Tech Overview_b.pptx,,Dropbox « Documents,Presentation (pptx),292 KB
92,0192801643.pdf - Unknown.pdf,,Dropbox « Documents,PDF document,3.1 MB
93,525589484_122001_AUG2011.pdf,,Dropbox « Documents,PDF document,36 KB
94,304340256567_18.pdf,,Dropbox « Documents,PDF document,101 KB
95,6075378867817.pdf,,Dropbox « Documents,PDF document,20 KB
96,9781852335960-c1.pdf,,Dropbox « Documents,PDF document,537 KB
97,63314517110201245705442B47388314CA94IMBAS41382354.pdf,,Dropbox « Documents,PDF document,27 KB
98,1177011908696300820113930813.pdf,,Dropbox « Documents,PDF document,59 KB
99,74312417110260545705442B29070843CA45IMBAS34801072.pdf,,Dropbox « Documents,PDF document,21 KB
100,41410786110270245705442B17551463CA5IMBAS36415551.pdf,,Dropbox « Documents,PDF document,24 KB
101,40838765933040720115641443.pdf,,Dropbox « Documents,PDF document,74 KB
102,A Class Reps list.xls,,Dropbox « Documents,Spreadsheet (xls),26 KB
103,A Little Java A Few Patterns - Unknown.pdf,,Dropbox « Documents,PDF document,10 MB
104,A Quick Start Guide to Cloud Computing.pdf,CloudComputing Cloud,Dropbox « Documents,PDF document,1.1 MB
105,A Taste Of Italy - Copyright(c) 2002 VJJE Publishing Co_.pdf,,Dropbox « Documents,PDF document,618 KB
106,a5072310f0c0b795773fa3a396473f3f.pdf,,Dropbox « Documents,PDF document,251 KB
107,aap mailler.pdf,,Dropbox « Documents,PDF document,161 KB
108,Aastha_winter_programme.pdf,,Dropbox « Documents,PDF document,2.9 MB
109,Abelson-Android.book - sirius.pdf,,Dropbox « Documents,PDF document,12 MB
110,About Stacks.pdf,,Dropbox « Documents,PDF document,466 KB
111,About Xcode.pdf,,Dropbox « Documents,PDF document,104 KB
112,Accelerated C# 2010 (Feb 2010) (Elements) - Unknown.pdf,,Dropbox « Documents,PDF document,7.2 MB
113,Accelerated CSharp 2008 - Unknown.pdf,,Dropbox « Documents,PDF document,6.3 MB
114,AccidentGuard_form_tata-Final 1.pdf,,Dropbox « Documents,PDF document,139 KB
115,AccidentGuard_form_tata-Final.pdf,,Dropbox « Documents,PDF document,139 KB
116,Account Statement.PDF,,Dropbox « Documents,PDF document,21 KB
117,accounting.book - mfowler.pdf,,Dropbox « Documents,PDF document,1.2 MB
118,Acknowledgements 1.pdf,,Dropbox « Documents,PDF document,47 KB
119,Acknowledgements.pdf,,Dropbox « Documents,PDF document,53 KB
120,ActionScript Coding Standards - Michael Williams.pdf,,Dropbox « Documents,PDF document,731 KB
121,ActiveMQinAction.pdf,,Dropbox « Documents,PDF document,17 MB
